epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1042.64,0.34494,0.20549,0.80657,0.99789,0.98873,0.99223,0.94417,0.34229,0.1892,0.8143,0.000381899,0.000381899,0.000381899
89,1054.36,0.34719,0.20631,0.81014,0.99929,0.98982,0.99212,0.94502,0.34108,0.17904,0.81403,0.000371885,0.000371885,0.000371885
90,1066.07,0.33154,0.20137,0.80781,0.99802,0.99086,0.99212,0.92831,0.39916,0.18947,0.82013,0.000361929,0.000361929,0.000361929
91,1077.82,0.33377,0.20216,0.8091,0.99917,0.98914,0.99197,0.94969,0.32267,0.1803,0.81089,0.000352037,0.000352037,0.000352037
92,1089.53,0.33118,0.19885,0.80751,0.99943,0.98909,0.9923,0.93875,0.37908,0.19191,0.81693,0.000342211,0.000342211,0.000342211
93,1101.22,0.33567,0.20066,0.80377,0.99914,0.98936,0.9923,0.95523,0.33414,0.17647,0.81194,0.000332457,0.000332457,0.000332457
94,1113.02,0.33584,0.20046,0.80534,0.99944,0.9892,0.99212,0.94932,0.31939,0.18824,0.81169,0.000322778,0.000322778,0.000322778
95,1124.75,0.32206,0.18941,0.8002,0.99878,0.98918,0.99194,0.92783,0.38544,0.20126,0.81926,0.00031318,0.00031318,0.00031318
96,1136.43,0.32152,0.19292,0.8024,0.99802,0.98969,0.99178,0.93044,0.37873,0.20539,0.81973,0.000303665,0.000303665,0.000303665
97,1148.12,0.31812,0.20149,0.8086,0.99794,0.98965,0.99121,0.92888,0.37626,0.2074,0.82062,0.000294239,0.000294239,0.000294239
98,1159.82,0.32269,0.20266,0.80333,0.9982,0.99104,0.99199,0.95066,0.34025,0.20198,0.81198,0.000284906,0.000284906,0.000284906
99,1171.52,0.31445,0.19916,0.803,0.99838,0.99029,0.9923,0.94727,0.35929,0.19739,0.8158,0.000275668,0.000275668,0.000275668
100,1183.28,0.3069,0.19227,0.80479,0.99894,0.98977,0.99209,0.95847,0.33004,0.19819,0.81112,0.000266532,0.000266532,0.000266532
101,1195.07,0.30695,0.18701,0.797,0.99894,0.99138,0.99209,0.95513,0.32132,0.18585,0.81287,0.0002575,0.0002575,0.0002575
102,1206.83,0.3115,0.19212,0.79919,0.99709,0.98779,0.99209,0.95368,0.31332,0.18566,0.81092,0.000248577,0.000248577,0.000248577
103,1218.52,0.30872,0.1941,0.8048,0.98982,0.99138,0.99186,0.94728,0.32288,0.18287,0.81087,0.000239766,0.000239766,0.000239766
104,1230.22,0.3082,0.18781,0.80025,0.99802,0.99008,0.9919,0.95409,0.33932,0.18311,0.81183,0.000231071,0.000231071,0.000231071
105,1241.92,0.30004,0.18417,0.79766,0.99836,0.99104,0.9917,0.95394,0.3184,0.18675,0.81062,0.000222497,0.000222497,0.000222497
106,1253.66,0.30362,0.18798,0.79689,0.99816,0.9893,0.99178,0.95035,0.32867,0.17968,0.80994,0.000214046,0.000214046,0.000214046
107,1265.36,0.30048,0.18463,0.80347,0.9987,0.98917,0.9919,0.95379,0.32377,0.17376,0.80862,0.000205723,0.000205723,0.000205723
108,1277.16,0.2938,0.18034,0.7989,0.99809,0.99102,0.99202,0.94777,0.36486,0.18117,0.8157,0.000197532,0.000197532,0.000197532
109,1288.89,0.29905,0.18672,0.80379,0.99803,0.99138,0.9918,0.95387,0.31678,0.17662,0.81234,0.000189475,0.000189475,0.000189475
110,1300.61,0.30072,0.18278,0.80546,0.99069,0.99126,0.99125,0.95619,0.30857,0.18149,0.80957,0.000181557,0.000181557,0.000181557
111,1312.35,0.30418,0.1825,0.80284,0.99796,0.98984,0.99199,0.95676,0.30987,0.17003,0.80888,0.00017378,0.00017378,0.00017378
112,1324.07,0.29562,0.17823,0.8027,0.99877,0.99063,0.9924,0.96313,0.29843,0.17262,0.80751,0.000166149,0.000166149,0.000166149
113,1335.87,0.29001,0.17851,0.80243,0.99919,0.99102,0.99212,0.96511,0.30201,0.17574,0.80745,0.000158667,0.000158667,0.000158667
114,1347.67,0.28985,0.17214,0.79924,0.99908,0.98926,0.9922,0.95873,0.30389,0.17458,0.80649,0.000151336,0.000151336,0.000151336
115,1359.39,0.28847,0.17719,0.79863,0.99649,0.99138,0.99223,0.95539,0.31947,0.17315,0.80725,0.000144161,0.000144161,0.000144161
116,1371.09,0.2867,0.17519,0.79674,0.99786,0.99107,0.9925,0.96286,0.31492,0.1713,0.80793,0.000137143,0.000137143,0.000137143
117,1382.79,0.28071,0.17491,0.79713,0.9984,0.99101,0.99262,0.95801,0.32313,0.17145,0.80943,0.000130287,0.000130287,0.000130287
118,1394.52,0.27395,0.16982,0.7976,0.99734,0.99079,0.99258,0.96415,0.30236,0.16989,0.80714,0.000123596,0.000123596,0.000123596
119,1406.21,0.28766,0.17451,0.7964,0.99567,0.99138,0.99262,0.96017,0.30749,0.17304,0.80699,0.000117072,0.000117072,0.000117072
120,1417.94,0.27845,0.17041,0.79743,0.99639,0.99138,0.99262,0.96005,0.31446,0.17225,0.80803,0.000110718,0.000110718,0.000110718
121,1429.64,0.282,0.16802,0.80034,0.9978,0.99138,0.99271,0.96139,0.30942,0.17237,0.80731,0.000104537,0.000104537,0.000104537
122,1441.37,0.28069,0.17241,0.79589,0.99822,0.99103,0.99271,0.96679,0.30038,0.16548,0.80715,9.85311e-05,9.85311e-05,9.85311e-05
123,1453.22,0.2858,0.17393,0.7974,0.99777,0.99067,0.99267,0.96382,0.29358,0.16404,0.80629,9.2704e-05,9.2704e-05,9.2704e-05
124,1464.94,0.27754,0.1694,0.79491,0.99728,0.99014,0.99254,0.96183,0.29295,0.16427,0.80678,8.70577e-05,8.70577e-05,8.70577e-05
125,1476.65,0.27295,0.16713,0.79873,0.99809,0.99026,0.99262,0.96145,0.29235,0.16442,0.80611,8.15947e-05,8.15947e-05,8.15947e-05
