epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,1831.64,0.40759,0.24874,0.83651,1,0.98882,0.99207,0.9496,0.34106,0.19786,0.81475,0.000294239,0.000294239,0.000294239
98,1843.32,0.40029,0.25127,0.83804,0.9988,0.98998,0.99209,0.94695,0.34634,0.20092,0.81807,0.000284906,0.000284906,0.000284906
99,1854.96,0.40448,0.24767,0.83998,0.99943,0.98968,0.9922,0.94827,0.34249,0.19439,0.81906,0.000275668,0.000275668,0.000275668
100,1866.65,0.40754,0.24004,0.84232,0.99913,0.98952,0.99243,0.95499,0.32133,0.18351,0.81393,0.000266532,0.000266532,0.000266532
101,1878.31,0.39455,0.24036,0.83694,1,0.98923,0.9922,0.95216,0.31985,0.1824,0.81165,0.0002575,0.0002575,0.0002575
102,1890.07,0.3922,0.24011,0.83685,0.99966,0.98779,0.99212,0.94527,0.34572,0.1879,0.81715,0.000248577,0.000248577,0.000248577
103,1901.72,0.38116,0.2316,0.83063,0.99869,0.98873,0.99212,0.92961,0.38199,0.20573,0.81701,0.000239766,0.000239766,0.000239766
104,1913.46,0.40059,0.23985,0.83869,0.98808,0.98873,0.99206,0.95132,0.32837,0.18615,0.81319,0.000231071,0.000231071,0.000231071
105,1925.27,0.39856,0.23556,0.83994,0.99992,0.98736,0.99218,0.94985,0.34106,0.18285,0.8152,0.000222497,0.000222497,0.000222497
106,1937.09,0.39153,0.23846,0.8368,0.99985,0.98719,0.99233,0.94285,0.35442,0.18988,0.81727,0.000214046,0.000214046,0.000214046
107,1949.29,0.39403,0.2377,0.834,1,0.98939,0.99226,0.94822,0.34326,0.18603,0.81762,0.000205723,0.000205723,0.000205723
108,1961.38,0.38542,0.23414,0.83511,1,0.98831,0.99199,0.95366,0.32862,0.19227,0.81741,0.000197532,0.000197532,0.000197532
109,1973.53,0.37724,0.22682,0.8314,1,0.98701,0.99207,0.95635,0.32464,0.17903,0.81492,0.000189475,0.000189475,0.000189475
110,1985.85,0.37688,0.23048,0.8272,0.99819,0.98904,0.99204,0.9581,0.32742,0.1813,0.81369,0.000181557,0.000181557,0.000181557
111,1998.1,0.38411,0.23616,0.83426,0.99685,0.98814,0.99182,0.9541,0.32834,0.186,0.81543,0.00017378,0.00017378,0.00017378
112,2010.33,0.37624,0.22818,0.83042,0.9983,0.98634,0.99202,0.95325,0.32517,0.18591,0.81618,0.000166149,0.000166149,0.000166149
113,2022.8,0.36839,0.22328,0.82849,0.99815,0.98659,0.99212,0.95072,0.33245,0.18442,0.81802,0.000158667,0.000158667,0.000158667
114,2035.17,0.3649,0.21451,0.82499,0.99868,0.98662,0.99215,0.9497,0.34686,0.18662,0.81857,0.000151336,0.000151336,0.000151336
